ID,TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
326,Hell Girl (Español),,Primera Temporada,Español,26,2,Sobrenatural / Suspenso / Misterio / Thriller,
327,Hell Girl Futakomori,,Segunda Temporda,Japonés,26,2,Sobrenatural / Suspenso / Misterio / Thriller,
328,Hell Girl Live Action,,,Japonés,12,1,Sobrenatural / Suspenso / Misterio / Thriller,
329,Hell Girl Mitsuganae,,Tercera Temporada,Japonés,26,2,Sobrenatural / Suspenso / Misterio / Thriller,
330,Hellsing,,,Español / Japonés,13,1,Acción / Sobrenatural / Misterio / Thriller,
331,"Hellsing, Ultimate",Ultimate Hellsing,,Japonés,10 + 3 Omakes,3,Acción / Sobrenatural / Misterio / Thriller,
332,Hentai Ouji to Warawanai Neko,,,Japonés,12,1,Fantasía / Romance / Comedia / Ecchi,
333,Heroic Age,,,Japonés,26,2,Acción / Mechas / Sci-Fi / Romance,
334,Hidan no Aria,Aria the Scarlet Ammo,,Japonés,13,1,,
335,Higashi no Eden,Eden of the east,,Japonés,11,1,Suspenso / Acción / Aventura / Romance,
336,High School DXD,,Primera Temporada,Japonés,12,1,Sobrenatural / Comedia / Romance / Ecchi,
337,High School DXD BorN,,Tercera Temporada,Japonés,12,1,Sobrenatural / Comedia / Romance / Ecchi,
338,High School DXD New,,Segunda Temporada,Japonés,12,1,Sobrenatural / Comedia / Romance / Ecchi,
339,High School DXD OVAS,,Primera Temporada - Especiales y OVAs,Japonés,2 OVA + 6 Especiales,1,Sobrenatural / Comedia / Romance / Ecchi,
340,Highschool of the Dead,HOTD,,Japonés,12 + OVA,1,Acción / Supervivencia / Ecchi,
341,Higurashi no na Ku koro ni,,,Japonés,26 + OVA,2,Misterio / Horror / Sobrenatural,
342,Higurashi no na ku koro ni Kira,,,Japonés,4,1,Misterio / Horror / Sobrenatural,
343,Higurashi no naku koro ni Kai,,,Japonés,24,1,Misterio / Horror / Sobrenatural,
344,Hiiro no Kakera,,,Japonés,13,1,Romance / Fantasía / Harem / Harem Invertido,
345,Hiiro no Kakera 2,,,Japonés,13,1,Romance / Fantasía / Harem / Harem Invertido,
346,Historias de Fantasmas,Gakko no Kaidan,,Español,26,2,Sobreantural / Horror / Misterio,
347,Hitsugi no Chaika,,,Japonés,12,1,Aventura / Acción / Comedia,
348,Hitsugi no Chaika - Avenging Battle,,Segunda Temporda,Japonés,12,1,Aventura / Acción / Comedia,
349,Holic,,Primera Temporada,Japonés,24,2,Sobrenatural / Fantasía / Misterio / Crossover,
350,Holic (Español),,Primera Temporada,Español,24,2,Sobrenatural / Fantasía / Misterio / Crossover,
351,Holic Kei,,Segunda Temporada,Japonés,12,1,Sobrenatural / Fantasía / Misterio / Crossover,
352,Holic Manatsu no Yoru no Yume,,Película,Japonés,Película,1,Sobrenatural / Fantasía / Misterio / Crossover,
353,Holic Shunmuki + Rou,,Tercera y Cuarta Temporada,Japonés,2+1,1,Sobrenatural / Fantasía / Misterio / Crossover,
354,"Hols, El principe del sol",,GHIBLI,Español / Japonés,Película,1,Fantasía / Aventura,
355,Hora de Aventura,Adventure Time,6  Temporadas,Español,156,7,Aventura / Fantasía / Comedia,
356,Hoshi O ou Kodomo,Children who Chase Voices from deep below,,Japonés,Película,1,Aventura / Fantasía / Romance,
357,Hotarubi no mori e,,,Japonés,Película,1,Romance / Drama / Sobrenatural,
358,Hozuki no Reitetsu,,,Japonés,12,1,Comedia / Sobrenatural,
359,HunterXHunter,,Primera Temporada,Japonés,62 + 8 OVA,3,Aventura / Acción / Fantasía,
360,HunterXHunter (2014),,,Japonés,,9,Aventura / Acción / Fantasía,
361,Hyakka Ryoran Samurai Bride,,Segunda Temporada,Japonés,12 + 6 oamkes,1,Acción / Comedia / Romance / Ecchi,
362,Hyakka Ryoran Samurai Girl,,Primera Temporada,Japonés,12,1,Acción / Comedia / Romance / Ecchi,
363,Hybrid Child,,,Japonés,4,1,Shounen Ai / Drama / Romance,Relacionado co Junjou Romantica y Sekaiichi Hatsukoi.
364,Hyouka,,,Japonés,22,2,Escolar / Misterio / Slice of life,
365,Hyperdimension Neptunia,Choujigen Game Neptune,,Japonés,12,1,Acción / Fantasía / Ecchi,
366,Ichiban Uchiro Daimaou,,,Japonés,12 + 6 OVA,1,Comedia / Sobrenatural / Ecchi,
367,Ikkitousen,,,Japonés,13,1,Shounen / Acción / Ecchi,
368,Ikkitousen Dragon Destiny,,,Japonés,12 + 6 OVA,1,Shounen / Acción / Ecchi,
369,Ikkitousen Great Guardians,,,Japonés,12 + 6 OVA,1,Shounen / Acción / Ecchi,
